Periodo,Valor
1993/01,60.4076908612
1993/02,61.0225210579
1993/03,63.9432493558
1993/04,61.8659839625
1993/05,63.6128997268
1993/06,62.882587375
1993/07,62.7979533586
1993/08,62.0278863088
1993/09,62.0183368658
1993/10,62.8348011177
1993/11,63.6217709008
1993/12,66.1211926738
1994/01,63.0292680958
1994/02,62.733155894
1994/03,65.7902745746
1994/04,65.8917161061
1994/05,66.858802303
1994/06,66.6357909092
1994/07,64.702062241
1994/08,65.7963434574
1994/09,65.7647744787
1994/10,66.7306848081
1994/11,67.8468740347
1994/12,68.0674403804
1995/01,65.1023361029
1995/02,60.2941896882
1995/03,62.9298652808
1995/04,59.2390870967
1995/05,61.1767744021
1995/06,61.0823415749
1995/07,59.7791696175
1995/08,61.0682042755
1995/09,60.8477198837
1995/10,60.2182432936
1995/11,63.0601993013
1995/12,65.4134589233
1996/01,64.5973591162
1996/02,63.2503336641
1996/03,65.0043544205
1996/04,63.8220199004
1996/05,66.5689589083
1996/06,65.5781667234
1996/07,65.9122307115
1996/08,65.3645733945
1996/09,65.0377449347
1996/10,67.8246393297
1996/11,68.5590415577
1996/12,69.2684510405
1997/01,67.9222640397
1997/02,66.0157188431
1997/03,67.08871365
1997/04,70.1893874635
1997/05,71.2536316078
1997/06,70.7175744234
1997/07,70.4839014465
1997/08,70.0284505445
1997/09,70.7515847643
1997/10,73.2372785539
1997/11,72.7578924892
1997/12,73.7804386824
1998/01,72.2812502473
1998/02,71.2676398212
1998/03,75.3075129594
1998/04,72.9523756679
1998/05,75.1380150684
1998/06,74.6451873903
1998/07,74.614461876
1998/08,73.4792497967
1998/09,73.7673171292
1998/10,74.4641798715
1998/11,74.4434402271
1998/12,75.6773518216
1999/01,74.2838069583
1999/02,72.7094015887
1999/03,76.9921085454
1999/04,74.3292274761
1999/05,76.9230415426
1999/06,76.5567451361
1999/07,76.3126248413
1999/08,75.6700137854
1999/09,76.2477526799
1999/10,76.4546543996
1999/11,77.6701319948
1999/12,78.0534684368
2000/01,77.9300288931
2000/02,77.3673161378
2000/03,80.3579501356
2000/04,77.0075638185
2000/05,82.3433051272
2000/06,81.541544916
2000/07,79.629725583
2000/08,81.1907409729
2000/09,80.1648725538
2000/10,80.8095844015
2000/11,80.916185699
2000/12,79.4983013926
2001/01,79.4234580026
2001/02,76.4192579678
2001/03,80.7678739465
2001/04,77.5311546825
2001/05,81.7840886163
2001/06,80.6070076274
2001/07,79.32531293
2001/08,80.5870320979
2001/09,78.2695730391
2001/10,79.9735516193
2001/11,80.0938992833
2001/12,79.0924690564
2002/01,77.3862850601
2002/02,75.1093153479
2002/03,77.1222724473
2002/04,80.8302351088
2002/05,82.0699418785
2002/06,79.7212702042
2002/07,79.9271836867
2002/08,80.305760518
2002/09,78.3801796406
2002/10,81.6077386069
2002/11,80.095182105
2002/12,80.4905067625
2003/01,79.2723888575
2003/02,77.1755052201
2003/03,80.3397554571
2003/04,79.9509284977
2003/05,82.2884185148
2003/06,81.4433698232
2003/07,80.9357011629
2003/08,79.4199522308
2003/09,79.1887801539
2003/10,81.8791094448
2003/11,80.6345132914
2003/12,83.3303697702
2004/01,80.9300663979
2004/02,79.1938220919
2004/03,84.927848566
2004/04,82.9362250937
2004/05,85.2390495632
2004/06,85.6208725355
2004/07,82.9402339305
2004/08,83.1324397615
2004/09,82.1975085382
2004/10,84.3626848303
2004/11,85.9415397198
2004/12,86.2305672281
